"","3","9","15","21","27","33","39","45","51","57","63","69","75","81","87","93"
"Propanoate metabolism",-1.8679052098002,-1.50732791503765,-1.74944274872716,-1.11605029313733,0.630281405640458,-0.608232743345814,-0.995978691627594,-0.69253515682236,-0.504407290193057,-0.521608748285221,1.22666123285999,0.943127765296529,-0.897086877167656,-0.835799322894547,-1.01754728365085,-1.25173653546955
"SNARE interactions in vesicular transport",1.79170769301947,-0.934068506827503,-1.27100740325361,0.667347148427043,1.24468439832859,0.798112078447859,-1.00046199385133,-0.879512405709695,-0.768914652724799,-0.707563247119463,1.34647348536715,1.6402247141299,-0.516577430545477,-0.665697280352211,-0.905592135729759,-0.678004797349146
"Oxidative phosphorylation",1.67936874821064,0.930032377886623,-0.779168133626815,0.767825028509771,1.01503033185589,1.71949572468341,2.12056760587682,0,0,0,1.7732013899452,1.59233967342139,2.01080177466161,0,0,0
"Glyoxylate and dicarboxylate metabolism",-1.41988420621853,-1.64638004086438,-1.47803619192722,-1.18431216400743,-1.3487487638157,-1.39257786220621,-0.931549863314931,-0.651627325233416,-0.596286028589156,-0.533900978617282,1.03990951172633,1.12473357384627,0.599970320929139,0.732171513011341,1.1005602504364,-0.778643162731619
"Nucleotide excision repair",1.34739510535903,1.29901289619932,1.65277872543683,1.51171884303704,1.28674559428936,-1.00444672483979,-1.30719041940444,-1.50519624718139,-1.53209884847095,-1.38490379449581,-1.31459250447457,-1.34178160715835,-1.39971224854562,-1.39125539415598,-1.39534052498357,-1.32835503542378
"Citrate cycle (TCA cycle)",1.22709630386191,1.15778384209797,0.885398882937082,-0.871376810612418,-1.51548633910948,-1.45952366247403,-0.837549695636838,1.29658614355958,1.46906168632437,1.41751914925099,1.36852846128326,1.29601849305705,0.744029235757945,-0.502152055377358,-0.658419605352483,-0.967385390246353
"Pyrimidine metabolism",-1.18547814024795,-1.19670533157285,-1.04212260731053,0.689014456393346,0.867223637310744,0.963237405626507,-0.993471039575272,-0.872040628536635,-1.12067447255584,-1.18236861495976,-1.41728955354677,-1.50974696901952,-1.42323247663799,-1.14033569304498,-1.08494925585606,-0.930053383579889
"Steroid biosynthesis",-1.18409386768771,-0.537168740976648,1.11787337927915,1.34843399443181,0.588314744541916,-1.4176071996579,-1.47545909705722,-1.28621422694065,-1.00832125914167,-0.969648916618018,-1.50340159429157,-1.52214504338937,-1.50233121669831,-1.35314736763074,-1.25829777087972,-1.24198642969313
"Nucleotide metabolism",-1.12993870494503,-1.08231534635143,-0.913258208363369,0.647997811384502,0.642164719150495,-1.30377527100232,-1.11841746130441,-1.34055528384664,-1.33590900825984,-1.09216906957309,-1.45531109162104,-1.66004540536287,-1.29833174539508,-1.08088998735838,-1.12691477853063,-1.07795180985778
