ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
sce03008,Ribosome biogenesis in eukaryotes,61,-0.4749347237654666,-2.357210392770955,6.350506704682266e-7,5.71545603421404e-5,5.615184875719057e-5,941,"tags=69%, list=32%, signal=48%",BMS1/RRP7/IMP4/UTP22/XRN1/RCL1/RIA1/UTP14/CKB1/SDO1/UTP18/NUG1/UTP4/DIP2/RIO1/UTP5/RIO2/AFG2/KRE33/NAN1/CKA2/GAR1/MPP10/PWP2/TIF6/CBF5/NOP58/RPP1/RIX7/UTP15/NOP56/REX2/UTP6/CKA1/NMD3/NOB1/UTP9/MDN1/UTP10/NOG1/UTP21/FAP7
sce00190,Oxidative phosphorylation,48,0.29216116901987216,2.3373194466977303,5.5002202647187896e-5,0.002475099119123455,0.0024316763275598857,279,"tags=31%, list=10%, signal=29%",CYC1/ATP18/ATP19/RIP1/1466480/COX12/ATP15/QCR7/CYC7/COX13/COX4/ACP1/ATP14/COX5B/VMA7
sce03030,DNA replication,26,-0.49310963679577047,-2.0172180562410436,9.855354635075499e-4,0.029566063905226498,0.029047361029696208,1213,"tags=81%, list=42%, signal=47%",RFA1/POL3/POL31/RFA2/POL12/DPB2/MCM6/MCM2/CDC9/RFC5/MCM3/POL30/RNH201/RFC4/POL1/DPB4/MCM5/MCM7/PRI1/POL2/RAD27
sce04111,Cell cycle - yeast,45,-0.4052677775322793,-1.8667430139378745,0.0019005402596426984,0.04276215584196071,0.04201194258157544,1273,"tags=76%, list=44%, signal=43%",CDC27/KCC4/CDC55/HSL7/DUN1/TPD3/SMC4/PPH22/MBP1/SWI4/CDC14/ORC2/FUS3/CDC53/CKS1/SWI6/MCM6/MCM2/TAH11/PHO4/YCG1/MCM3/SMC1/SMC3/DBF2/PHO85/MAD1/MCM5/GIN4/SLK19/MCM7/BRN1/MRC1/KSS1
