"","3","9","15","21","27","33","39","45","51","57","63","69","75","81","87","93"
"Mitophagy - yeast",-2.06273445248326,-1.54397986316888,0.923629733001459,1.12752903731838,0.940080344628949,-0.387307446927839,-0.753211666433563,-0.871124357066651,-0.839083387994576,-0.833099185972193,-0.705981372618918,1.02906249129924,0.761073350523263,-0.689647365335611,-0.833234830429586,-0.719107233311542
"DNA replication",1.86642070239654,1.6726015801601,1.27587586780101,0.665242312674091,-1.17808562746146,-1.44463129809057,-1.67299476355753,-1.56866442356276,-1.38595187477198,-1.35622724857575,-1.2369359570714,-1.16972140789787,-1.25881273701206,-1.6429102564043,-1.78019851282427,-1.63742025263981
"Ribosome biogenesis in eukaryotes",1.75886346042145,1.69211346678884,1.44031448382008,0.710190332063326,-1.61363721061631,-1.56888434348883,-1.89986271242741,-1.98749804236954,-2.04461713372414,-1.95418928015213,-2.12478565635751,-2.19170860838036,-2.03254549602025,-2.21997256496268,-2.09999000481601,-1.98367790642138
"Nucleotide excision repair",1.64611063748639,1.78071919248378,1.35127407573042,1.38618022737889,-0.763982634935493,-1.2691003736795,-1.49177582414654,-1.33402162757128,-1.41340095675157,-1.41016074759185,-1.45196525506724,-1.3872582200828,-1.2054951747452,-1.22712063203275,-1.27140032100499,-1.17544564119195
"Base excision repair",1.66232123443074,1.40262121382746,1.12478232803514,1.14031212114845,-0.651555481429141,-1.04635847770109,-1.14158606846226,-1.26161060021616,-1.51999074343779,-1.57796897803683,-1.34027407997073,-1.17977101228416,-1.34459833287634,-1.57472606899207,-1.61017735314067,-1.29056920965123
"Mismatch repair",1.5432713575793,1.5269195299803,0.959901697889807,0.918599072153213,-0.624633832954459,-0.84806785236941,-0.939190508963062,-1.01013199486965,-1.16043216231229,-1.37581594691454,-1.22692550221863,-1.12048985330169,-1.21038304597669,-1.40102341759104,-0.9813033773743,-0.824945039118815
"Steroid biosynthesis",-1.41188645694583,1.29337260403294,1.64154885830067,1.60738711937147,-1.36588652352257,-1.48463490247346,-1.44788180615551,-1.34489785843429,-1.12189382243126,-1.05605380388311,-1.3246162687927,-1.54609271588826,-1.41517552621232,-1.30673745436773,-1.43188393389364,-1.35688284938116
"Glyoxylate and dicarboxylate metabolism",-1.32126853902108,-1.29273945291114,-1.16176715492229,-1.93816563092978,-1.42198771721603,-1.29929994167861,-0.998623504955975,-0.75205432072311,0.864909838962401,0.891440068923891,1.75482171270729,1.63330639268822,1.16028965176567,1.49428158823155,1.56559096112986,-0.680938937604544
"Propanoate metabolism",-1.30988241418733,-1.59189045944466,-1.45758106479921,-1.64598801176561,-1.36091346026426,-0.937466317763106,-0.793945746832824,-0.767889441902433,-0.578004175432932,0.769661988850429,1.66444557143801,1.41002102460878,0.931231932644209,-0.712147573723601,-0.844084815341485,-1.05383998502319
