GENENAME,ENTREZID,Time,Score
COX4,852688,T0,1.2070447
LSM1,853318,T0,1.20491
YJU2,853767,T0,1.2043545
CDC42,850930,T0,1.2028822
YLF2,856372,T0,1.2017163
SWC4,852885,T0,1.2006006
HAP3,852260,T0,1.1983062
LSM3,851159,T0,1.1969889
NA,855802,T0,1.1961902
DAP1,855933,T0,1.1956402
ADK2,856917,T0,1.1883497
DAD3,852535,T0,1.1836503
NA,852381,T0,1.1811954
RPS13,851636,T0,1.1803123
PIN4,852229,T0,1.1701741
AAP1,856443,T0,1.1696113
NA,856497,T0,1.169374
TIM11,851922,T0,1.1679704
BOI1,852193,T0,1.1675147
MPD2,854065,T0,1.15946
RPP2B,851990,T0,1.1486579
LYS21,851425,T0,1.1467738
ATM1,855347,T0,1.1462129
AIM6,851361,T0,1.1448027
TOA2,853807,T0,1.1430857
YAP1,855005,T0,1.1429446
TCD2,853841,T0,1.1411265
TSA1,854980,T0,1.1406866
CLA4,855418,T0,1.1401944
HXT4,856492,T0,1.1393547
BPL1,851414,T0,1.1391072
RNH202,851873,T0,1.1390597
PEP12,854201,T0,1.1368157
TDA3,856400,T0,1.1355661
RPS15,854117,T0,1.1331649
SEH1,852778,T0,1.1314247
AIM21,854819,T0,1.126824
PRM8,852828,T0,1.1258878
YHI9,856424,T0,1.1220465
RPP1B,851427,T0,1.1166024
MPD1,854462,T0,1.1155179
BRF1,853161,T0,1.1129173
ROX1,856178,T0,1.1118451
AIM41,854390,T0,1.1114542
STO1,855155,T0,1.1110153
PEX30,851034,T0,1.110332
NA,1466422,T0,1.1095306
SDS3,854725,T0,1.1062062
VPS13,850619,T0,1.1041644
PRE7,852239,T0,1.1041238
CBK1,855561,T0,1.1035957
RBL2,854439,T0,1.1024264
NA,856873,T0,1.1015916
TRX1,850732,T0,1.0999542
ARI1,852720,T0,1.0971632
CCA1,856915,T0,1.096888
TPS1,852423,T0,1.0941098
COF1,850676,T0,1.0933125
MPP10,853458,T0,1.0911068
RPL9B,855658,T0,1.0895494
ALG9,855502,T0,1.0877488
SAM4,855855,T0,1.0877352
VPS24,853825,T0,1.0851587
CDC8,853520,T0,1.0804921
GVP36,854770,T0,1.079417
ATP7,853853,T0,1.0755088
TRX2,853123,T0,1.0720397
UME6,851788,T0,1.0716305
SCP160,853365,T0,1.0691895
TMT1,856922,T0,1.0688567
SMY2,852470,T0,1.0682693
NA,854264,T0,1.067925
LSM8,853479,T0,1.0620924
SAP155,850601,T0,1.0599382
CDC39,850455,T0,1.0577785
USE1,852780,T0,1.0561607
NOP15,855613,T0,1.0549014
FUN30,851214,T0,1.0548801
TAE1,852564,T0,1.0485064
PRB1,856649,T0,1.0433396
SMT3,852122,T0,1.0432595
SIT4,851513,T0,1.04228
NOP16,856719,T0,1.0421759
